,ID,SMILES,"Tg, K",METHOD ID,METHOD NAME
150,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,570.0,7,"Tg (DSC), K"
151,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,558.0,9,"Tg (unknown method), K"
152,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,571.0,9,"Tg (unknown method), K"
153,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,578.0,9,"Tg (unknown method), K"
154,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,578.0,9,"Tg (unknown method), K"
155,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,576.0,11,"Tg, K  (calc)"
156,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,615.0,4,"Tg (TMA), K, (exp) unknown conditions"
157,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,578.0,7,"Tg (DSC), K"
158,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,611.0,7,"Tg (DSC), K"
159,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,623.0,7,"Tg (DSC), K"
160,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,584.0,7,"Tg (DSC), K"
161,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,599.0,7,"Tg (DSC), K"
162,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,624.0,9,"Tg (unknown method), K"
163,65,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,615.0,11,"Tg, K  (calc)"
164,66,Ic1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,598.0,7,"Tg (DSC), K"
165,66,Ic1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,609.0,7,"Tg (DSC), K"
166,66,Ic1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,610.0,9,"Tg (unknown method), K"
167,66,Ic1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,625.0,11,"Tg, K  (calc)"
168,67,Ic1ccc(cc1)c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,610.0,7,"Tg (DSC), K"
169,67,Ic1ccc(cc1)c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,605.0,11,"Tg, K  (calc)"
170,68,IN1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)c1cccc2c1cccc2I,618.0,7,"Tg (DSC), K"
171,68,IN1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)c1cccc2c1cccc2I,588.0,11,"Tg, K  (calc)"
172,69,Ic1cccc(c1)Oc1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,517.0,7,"Tg (DSC), K"
173,69,Ic1cccc(c1)Oc1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,506.0,11,"Tg, K  (calc)"
174,72,Ic1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1cccc(c1)C(=O)c1ccc2c(c1)C(=O)N(C2=O)I,533.0,5,"Tg (TBA), K, (exp),  N2 300 C"
175,72,Ic1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1cccc(c1)C(=O)c1ccc2c(c1)C(=O)N(C2=O)I,515.0,11,"Tg, K  (calc)"
176,73,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Sc1cccc2c1C(=O)N(C2=O)I,603.0,7,"Tg (DSC), K"
177,73,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Sc1cccc2c1C(=O)N(C2=O)I,536.0,11,"Tg, K  (calc)"
178,74,Ic1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,639.0,6,"Tg (DTMA), K"
179,74,Ic1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,593.0,7,"Tg (DSC), K"
180,74,Ic1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,536.0,11,"Tg, K  (calc)"
181,75,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,651.0,6,"Tg (DTMA), K"
182,75,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,592.0,7,"Tg (DSC), K"
183,75,Ic1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,536.0,11,"Tg, K  (calc)"
184,76,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,578.0,6,"Tg (DTMA), K"
185,76,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,554.0,7,"Tg (DSC), K"
186,76,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,561.0,9,"Tg (unknown method), K"
187,76,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,496.0,11,"Tg, K  (calc)"
188,77,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,560.0,6,"Tg (DTMA), K"
189,77,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,542.0,7,"Tg (DSC), K"
190,77,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,496.0,11,"Tg, K  (calc)"
191,78,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,550.0,6,"Tg (DTMA), K"
192,78,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,536.0,7,"Tg (DSC), K"
193,78,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,531.0,7,"Tg (DSC), K"
194,78,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,540.0,9,"Tg (unknown method), K"
195,78,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,496.0,11,"Tg, K  (calc)"
196,79,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,550.0,6,"Tg (DTMA), K"
197,79,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,523.0,7,"Tg (DSC), K"
198,79,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I,474.0,11,"Tg, K  (calc)"
199,80,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,538.0,6,"Tg (DTMA), K"
200,80,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,515.0,7,"Tg (DSC), K"
201,80,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,474.0,11,"Tg, K  (calc)"
202,81,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,524.0,6,"Tg (DTMA), K"
203,81,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,507.0,7,"Tg (DSC), K"
204,81,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I,474.0,11,"Tg, K  (calc)"
205,82,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,573.0,6,"Tg (DTMA), K"
206,82,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,547.0,7,"Tg (DSC), K"
207,82,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1cccc2c1C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,518.0,11,"Tg, K  (calc)"
208,83,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,570.0,6,"Tg (DTMA), K"
209,83,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,538.0,7,"Tg (DSC), K"
210,83,Cc1cc(ccc1N1C(=O)c2c(C1=O)c(ccc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)Cc1ccc(c(c1)C)I,518.0,11,"Tg, K  (calc)"
211,84,O=C1N(C(=O)c2c1cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)c1ccc(cc1C)Cc1ccc(c(c1)C)I,565.0,6,"Tg (DTMA), K"
212,84,O=C1N(C(=O)c2c1cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)c1ccc(cc1C)Cc1ccc(c(c1)C)I,523.0,7,"Tg (DSC), K"
213,84,O=C1N(C(=O)c2c1cc(cc2)Sc1ccc2c(c1)C(=O)N(C2=O)I)c1ccc(cc1C)Cc1ccc(c(c1)C)I,518.0,11,"Tg, K  (calc)"
214,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,672.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
215,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,634.0,5,"Tg (TBA), K, (exp),  N2 300 C"
216,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,673.0,7,"Tg (DSC), K"
217,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,693.0,7,"Tg (DSC), K"
